"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\games\games.component.html", "HTML", 0, 0, 0, 0, 0, 0, 102, 0, 0, 13, 115
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\games\games.component.ts", "TypeScript", 0, 0, 0, 218, 0, 0, 0, 0, 0, 24, 242
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\add-steam-account\add-steam-account\add-steam-account.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\add-steam-account\add-steam-account\add-steam-account.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\add-steam-account\add-steam-account\add-steam-account.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\add-steam-account\add-steam-account\add-steam-account.component.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\after-login-steam\after-login-steam.component.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\after-login-steam\after-login-steam.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\after-login-steam\after-login-steam.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\after-login-steam\after-login-steam.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\login\login.component.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\login\login.component.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
